"date";"day";"month";"year";"total_day";"client_number"
"2022-01-31";"Monday";"1";"2022";"12500";"4"
"2022-01-23";"Sunday";"1";"2022";"19200";"7"
"2022-01-13";"Thursday";"1";"2022";"14000";"5"
"2022-01-04";"Tuesday";"1";"2022";"17800";"6"
"2022-01-27";"Thursday";"1";"2022";"24200";"7"
"2022-01-18";"Tuesday";"1";"2022";"63500";"7"
"2022-01-09";"Sunday";"1";"2022";"41500";"6"
"2022-01-24";"Monday";"1";"2022";"40400";"7"
"2022-01-15";"Saturday";"1";"2022";"13000";"4"
"2022-01-05";"Wednesday";"1";"2022";"14400";"6"
"2022-01-29";"Saturday";"1";"2022";"3000";"1"
"2022-01-20";"Thursday";"1";"2022";"25500";"5"
"2022-01-10";"Monday";"1";"2022";"19500";"8"
"2022-01-02";"Sunday";"1";"2022";"8500";"4"
"2022-01-25";"Tuesday";"1";"2022";"11600";"4"
"2022-01-16";"Sunday";"1";"2022";"6500";"2"
"2022-01-06";"Thursday";"1";"2022";"35000";"6"
"2022-01-30";"Sunday";"1";"2022";"10500";"3"
"2022-01-22";"Saturday";"1";"2022";"3000";"2"
"2022-01-11";"Tuesday";"1";"2022";"15500";"4"
"2022-01-03";"Monday";"1";"2022";"16000";"3"
"2022-01-26";"Wednesday";"1";"2022";"18700";"8"
"2022-01-17";"Monday";"1";"2022";"27600";"4"
"2022-01-08";"Saturday";"1";"2022";"4500";"3"
"2022-02-08";"Tuesday";"2";"2022";"126000";"5"
"2022-02-21";"Monday";"2";"2022";"18400";"8"
"2022-02-13";"Sunday";"2";"2022";"19000";"5"
"2022-02-05";"Saturday";"2";"2022";"19000";"5"
"2022-02-17";"Thursday";"2";"2022";"3000";"2"
"2022-02-09";"Wednesday";"2";"2022";"5500";"4"
"2022-02-01";"Tuesday";"2";"2022";"23200";"5"
"2022-02-22";"Tuesday";"2";"2022";"4500";"3"
"2022-02-14";"Monday";"2";"2022";"180900";"6"
"2022-02-06";"Sunday";"2";"2022";"14300";"6"
"2022-02-19";"Saturday";"2";"2022";"15800";"3"
"2022-02-10";"Thursday";"2";"2022";"20500";"5"
"2022-02-02";"Wednesday";"2";"2022";"21500";"5"
"2022-02-23";"Wednesday";"2";"2022";"21500";"6"
"2022-02-15";"Tuesday";"2";"2022";"74700";"9"
"2022-02-07";"Monday";"2";"2022";"40000";"5"
"2022-02-20";"Sunday";"2";"2022";"26400";"9"
"2022-02-12";"Saturday";"2";"2022";"5000";"3"
"2022-02-03";"Thursday";"2";"2022";"3000";"2"
"2022-02-24";"Thursday";"2";"2022";"15000";"5"
"2022-02-16";"Wednesday";"2";"2022";"9300";"3"
"2021-10-09";"Saturday";"10";"2021";"5000";"2"
"2021-10-23";"Saturday";"10";"2021";"184800";"33"
"2021-10-31";"Sunday";"10";"2021";"25900";"8"
"2021-10-13";"Wednesday";"10";"2021";"1500";"1"
"2021-10-06";"Wednesday";"10";"2021";"59400";"5"
"2021-10-26";"Tuesday";"10";"2021";"14000";"3"
"2021-10-10";"Sunday";"10";"2021";"22500";"4"
"2021-10-02";"Saturday";"10";"2021";"11800";"3"
"2021-10-30";"Saturday";"10";"2021";"36500";"9"
"2021-10-05";"Tuesday";"10";"2021";"39500";"7"
"2021-10-25";"Monday";"10";"2021";"49000";"6"
"2021-10-11";"Monday";"10";"2021";"33900";"7"
"2021-10-03";"Sunday";"10";"2021";"12100";"3"
"2021-10-28";"Thursday";"10";"2021";"4500";"2"
"2021-10-07";"Thursday";"10";"2021";"19500";"2"
"2021-10-24";"Sunday";"10";"2021";"15500";"6"
"2021-10-12";"Tuesday";"10";"2021";"28300";"7"
"2021-10-04";"Monday";"10";"2021";"6000";"2"
"2021-10-27";"Wednesday";"10";"2021";"24400";"5"
"2021-11-08";"Monday";"11";"2021";"37500";"7"
"2021-11-16";"Tuesday";"11";"2021";"26700";"9"
"2021-11-03";"Wednesday";"11";"2021";"2500";"1"
"2021-11-11";"Thursday";"11";"2021";"89700";"10"
"2021-11-29";"Monday";"11";"2021";"21400";"6"
"2021-11-07";"Sunday";"11";"2021";"12000";"1"
"2021-11-15";"Monday";"11";"2021";"3000";"1"
"2021-11-24";"Wednesday";"11";"2021";"171700";"30"
"2021-11-02";"Tuesday";"11";"2021";"64000";"6"
"2021-11-10";"Wednesday";"11";"2021";"54500";"7"
"2021-11-30";"Tuesday";"11";"2021";"36800";"8"
"2021-11-06";"Saturday";"11";"2021";"10300";"4"
"2021-11-14";"Sunday";"11";"2021";"7500";"3"
"2021-11-25";"Thursday";"11";"2021";"54700";"8"
"2021-11-01";"Monday";"11";"2021";"2500";"2"
"2021-11-09";"Tuesday";"11";"2021";"14100";"4"
"2021-11-04";"Thursday";"11";"2021";"20500";"7"
"2021-11-13";"Saturday";"11";"2021";"7000";"3"
"2021-11-28";"Sunday";"11";"2021";"38600";"8"
"2021-12-29";"Wednesday";"12";"2021";"14000";"5"
"2021-12-21";"Tuesday";"12";"2021";"12500";"7"
"2021-12-12";"Sunday";"12";"2021";"34000";"8"
"2021-12-02";"Thursday";"12";"2021";"32000";"3"
"2021-12-26";"Sunday";"12";"2021";"12400";"5"
"2021-12-16";"Thursday";"12";"2021";"15000";"4"
"2021-12-08";"Wednesday";"12";"2021";"16000";"7"
"2021-12-30";"Thursday";"12";"2021";"28700";"10"
"2021-12-22";"Wednesday";"12";"2021";"28300";"6"
"2021-12-13";"Monday";"12";"2021";"44000";"5"
"2021-12-05";"Sunday";"12";"2021";"26000";"7"
"2021-12-27";"Monday";"12";"2021";"55400";"9"
"2021-12-19";"Sunday";"12";"2021";"16400";"8"
"2021-12-09";"Thursday";"12";"2021";"39700";"9"
"2021-12-23";"Thursday";"12";"2021";"17700";"3"
"2021-12-14";"Tuesday";"12";"2021";"22900";"7"
"2021-12-06";"Monday";"12";"2021";"30700";"11"
"2021-12-28";"Tuesday";"12";"2021";"10100";"4"
"2021-12-20";"Monday";"12";"2021";"26800";"7"
"2021-12-11";"Saturday";"12";"2021";"22500";"2"
"2021-12-01";"Wednesday";"12";"2021";"34600";"9"
"2021-12-25";"Saturday";"12";"2021";"10100";"4"
"2021-12-15";"Wednesday";"12";"2021";"9500";"4"
"2021-12-07";"Tuesday";"12";"2021";"25000";"6"
